"Sort Order","Sort Order"
Title,Title
Password,Password,
Aramex Username,Aramex Username
Account Number,Account Number
Account Entity,Account Entity
Account Pin,Account Pin
Account Country,Account Country
Weight Unit,Weight Unit
Allowed Domestic Methods,Allowed Domestic Methods
Allowed International Methods,Allowed International Methods
Instructions,Instructions
Enable COD Service,Enable COD Service
COD Charge,COD Charge
Ship to Applicable Countries,Ship to Applicable Countries
Calculate Handling Fee,Calculate Handling Fee
Displayed Error Message,Displayed Error Message
Show Method if Not Applicable,Show Method if Not Applicable
Aramex COD Charge,Aramex COD Charge
